"municipality","canton","entity","voters","KZCiD","HDZ","SDP","ZL.97","ZAVICAJ","DNZ","SDA","Independent.Candidates","SDC.Cazin","BOSS","HSS","BPS","SZS","HSP","HNZ","HKDP","ZAD","NS","SDS","SRS","SPRS","SSS","DSZBLiK","DS","SPO","NRS.Z","SDR","NDP","SOS","SPAS","SSKiP","SNS","SD","DPSRS","NRS","ZAB","SSJ","SPD","StrZA","SRS*","SOF","UL","OS","DPS"
"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Derventa","Republika Srpska West","Republika Srpska",27573,6,9,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,15,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"Doboj","Republika Srpska West","Republika Srpska",57506,17,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,10,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Donji Vakuf","Centralna Bosna","Federation",8669,18,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Donji Žabar","Republika Srpska West","Republika Srpska",1478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Drvar","Tomislavgrad","Federation",9899,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dubica","Republika Srpska West","Republika Srpska",18157,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,4,15,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0
"Fojnica","Centralna Bosna","Federation",8295,17,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Foča","Republika Srpska East","Republika Srpska",23198,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gacko","Republika Srpska East","Republika Srpska",6716,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,6,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glamoč","Tomislavgrad","Federation",4881,3,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
