"municipality","community","total","muslims","serbs","croats","yugoslavs","others","muslims_percent","serbs_percent","croats_percent","yugoslavs_percent","others_percent","population_percent_of_municipality","fractionalization","polarization"
"Bihać","Klokot",1293,1188,99,1,3,2,0.918793503480278,0.0765661252900232,0.000773395204949729,0.00232018561484919,0.00154679040989946,0.018280269185093,0.149947752458505,0.295899567934509
"Bihać","Kulen Vakuf",2107,1452,519,3,117,16,0.689131466540104,0.246321784527765,0.00142382534409112,0.0555291884195539,0.007593735168486,0.0297884974269072,0.461280217432389,0.785330607014107
"Bihać","Lipa",218,0,206,6,4,2,0,0.944954128440367,0.0275229357798165,0.018348623853211,0.0091743119266055,0.00308205621218119,0.105883343152933,0.201212482500392
"Bihać","Luke",2875,1167,538,726,331,113,0.405913043478261,0.187130434782609,0.252521739130435,0.115130434782609,0.039304347826087,0.0406463835322061,0.721649724007561,0.748910277738802
"Bihać","Mali Lug",1248,1086,121,4,24,13,0.870192307692308,0.0969551282051282,0.0032051282051282,0.0192307692307692,0.0104166666666667,0.0176440649211107,0.2328764484714,0.429056399015545
"Bihać","Mrkonjića Lug",1820,1520,246,8,28,18,0.835164835164835,0.135164835164835,0.0043956043956044,0.0153846153846154,0.00989010989010989,0.0257309280099531,0.283876343436783,0.524487359518877
"Bihać","Orašac",3036,2954,50,3,12,17,0.972990777338603,0.0164690382081686,0.000988142292490119,0.00395256916996047,0.00559947299077734,0.0429225810100096,0.0529697646685102,0.103537628001409
"Bihać","Ozimice",6884,3801,1694,460,830,99,0.552149912841371,0.246077861708309,0.0668216153399186,0.120569436374201,0.0143811737361999,0.0973251145167675,0.615367224304073,0.797375837183191
"Bihać","Pokoj",1126,1036,21,1,7,61,0.920071047957371,0.0186500888099467,0.00088809946714032,0.00621669626998224,0.0541740674955595,0.0159192444720918,0.150147175275815,0.283274744883608
"Bihać","Pritoka",839,31,759,4,37,8,0.0369487485101311,0.904648390941597,0.00476758045292014,0.0441001191895113,0.00953516090584029,0.0118616750551377,0.17818760912091,0.325284700731473
"Bihać","Ribić",1767,1629,13,5,83,37,0.921901528013582,0.00735710243350311,0.00282965478211658,0.0469722693831353,0.0209394453876627,0.0249816207657072,0.147390584279674,0.275879311805297
"Bihać","Ripač",3001,1330,1534,29,101,7,0.4431856047984,0.511162945684772,0.00966344551816061,0.0336554481839387,0.00233255581472842,0.0424277554713567,0.54106745046997,0.953141475590098
"Bihać","Ružica",3452,2563,589,37,119,144,0.742468134414832,0.170625724217845,0.0107184241019699,0.0344727694090382,0.0417149478563152,0.0488039359837132,0.416584538293082,0.676164136497629
"Bihać","Skočaj",412,0,3,405,2,2,0,0.00728155339805825,0.983009708737864,0.00485436893203883,0.00485436893203883,0.00582480348357179,0.033591761711754,0.0660695672386605
"Bihać","Sokolac",1174,968,41,133,23,9,0.824531516183986,0.034923339011925,0.113287904599659,0.0195911413969336,0.00766609880749574,0.016597862353673,0.305651407990852,0.529137966660006
"Bihać","Srbljani",2526,2442,2,1,14,67,0.966745843230404,0.000791765637371338,0.000395882818685669,0.00554235946159937,0.0265241488519398,0.0357122660182096,0.0646674427599835,0.127181812435278
"Bihać","Vedro Polje",679,10,9,632,13,15,0.0147275405007364,0.0132547864506627,0.930780559646539,0.0191458026509573,0.0220913107511046,0.0095996154498671,0.132400372201171,0.244769147788775
"Bihać","Veliko Založje",403,393,3,1,1,5,0.975186104218362,0.00744416873449132,0.00248138957816377,0.00248138957816377,0.0124069478908189,0.00569756263077532,0.0487903995468232,0.0952681010432459
"Bihać","Vrsta",2118,1975,71,0,2,70,0.932483474976393,0.0335221907459868,0,0.000944287063267233,0.0330500472143532,0.0299440140247696,0.128257634324612,0.243401993478408
"Bihać","Zavalje",302,1,7,286,6,2,0.0033112582781457,0.0231788079470199,0.947019867549669,0.0198675496688742,0.00662251655629139,0.00426963750494826,0.102166571641595,0.193924920801952
"Bihać","Čavkići",1351,1269,31,0,2,49,0.939304219096965,0.0229459659511473,0,0.00148038490007402,0.0362694300518135,0.0191002657920036,0.115863403537473,0.221343246106963
"Bihać","Žegar",790,7,31,684,61,7,0.00886075949367089,0.0392405063291139,0.865822784810127,0.0772151898734177,0.00886075949367089,0.0111689193010236,0.242691876301875,0.430890684104097
"Bijeljina","Amajlije",1268,4,1219,4,31,10,0.00315457413249211,0.961356466876972,0.00315457413249211,0.0244479495268139,0.00788643533123028,0.0130737823235864,0.0751139428196123,0.145516919895779
"Bijeljina","Balatun",1305,0,1277,4,16,8,0,0.978544061302682,0.00306513409961686,0.0122605363984674,0.00613026819923372,0.0134552728172557,0.0422542241012316,0.082961181143695
"Bijeljina","Banjica",757,0,740,0,1,16,0,0.977542932628798,0,0.00132100396301189,0.0211360634081902,0.00780508928939663,0.0439613366396242,0.0875951476347316
"Bijeljina","Batkovići",3483,7,3220,5,67,184,0.00200976169968418,0.924490381854723,0.00143554407120299,0.01923629055412,0.0528280218202699,0.0359116591743308,0.142150599165513,0.27019647893823
"Bijeljina","Brijesnica",195,0,195,0,0,0,0,1,0,0,0,0.00201055800717615,0,0
"Bijeljina","Brodac",1601,0,1532,8,23,38,0,0.956901936289819,0.00499687695190506,0.014366021236727,0.023735165521549,0.0165071967666103,0.0835439748970135,0.160965912352487
